cpv_division,nombre,num_contratos,baja_media_pct
45,Trabajos de construcción,6738,9.0
79,"Servicios empresariales: legislación, marketing, consultoría, contratación de personal, imprenta y seguridad",2085,14.5
92,"Servicios recreativos, culturales y deportivos",2080,4.8
71,"Servicios de arquitectura, construcción, ingeniería e inspección",1894,16.0
50,Servicios de reparación y mantenimiento,1719,10.4
33,"Equipos médicos, farmacéuticos y de higiene personal",1419,7.3
34,Equipo de transporte y productos auxiliares para el transporte,1336,9.9
72,Servicios de tecnología de la información,1082,12.6
85,Servicios sanitarios y de asistencia social,999,9.6
44,Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos),905,14.0
39,"Mobiliario, equipamiento del hogar, electrodomésticos (excluido el alumbrado) y productos de limpieza",884,16.0
30,"Máquinas de oficina, equipos y suministros, excepto ordenadores, impresoras y muebles",881,11.7
60,Servicios de transporte (excluido el transporte de residuos),875,11.1
90,"Servicios de alcantarillado, basura, limpieza y medio ambiente",836,15.7
48,Paquetes de software y sistemas de información,761,12.8
42,Maquinaria industrial,526,14.2
31,"Maquinaria, aparatos, equipos y consumibles eléctricos",513,15.3
66,Servicios financieros y de seguros,465,22.0
55,"Servicios de hostelería, restauración y comercio al por menor",398,7.8
09,"Productos derivados del petróleo, combustibles, electricidad y otras fuentes de energía",397,7.8
35,"Equipos de seguridad, extinción de incendios, policía y defensa",393,7.6
80,Servicios de educación y formación,372,12.8
18,"Prendas de vestir, calzado, artículos de viaje y accesorios",355,11.6
32,"Equipos de radio, televisión, comunicación, telecomunicación y afines",352,15.2
38,"Equipos de laboratorio, óptica y de precisión (excepto gafas)",312,9.4
15,"Alimentos, bebidas, tabaco y productos afines",283,6.8
98,"Otros servicios comunitarios, sociales y personales",271,9.6
77,"Servicios agrícolas, forestales, hortícolas, acuicultura y apicultura",242,13.1
64,Servicios postales y de telecomunicaciones,219,7.9
63,Servicios auxiliares y adicionales de transporte; servicios de agencias de viaje,210,11.5
22,Impresos y productos afines,208,10.9
24,Productos químicos,181,16.9
14,"Productos mineros, metales básicos y productos afines",178,9.5
37,"Instrumentos musicales, artículos deportivos, juegos, juguetes, artesanía, material de bellas artes y accesorios",162,11.8
51,Servicios de instalación (excepto software),154,12.7
03,"Productos agrícolas, ganaderos, pesqueros, forestales y afines",148,10.7
43,"Maquinaria para minería, canteras y construcción",123,13.2
70,Servicios inmobiliarios,117,7.5
73,Servicios de investigación y desarrollo y servicios de consultoría conexos,67,12.6
75,"Servicios de administración pública, defensa y seguridad social",67,8.6
19,"Cuero, materiales textiles y productos de caucho o plástico",57,7.9
16,Maquinaria agrícola,53,12.1
65,Servicios públicos,21,13.0
