cpv_division,sector,num_contratos,importe_total_eur
45,Trabajos de construcción,16618,22286817144.51
50,Servicios de reparación y mantenimiento,4707,11301008902.02
90,"Servicios de alcantarillado, basura, limpieza y medio ambiente",3079,9171566905.62
60,Servicios de transporte (excluido el transporte de residuos),1902,5652579662.07
85,Servicios sanitarios y de asistencia social,2850,5401294163.41
34,Equipo de transporte y productos auxiliares para el transporte,3340,4561548598.23
33,"Equipos médicos, farmacéuticos y de higiene personal",3729,4390592158.19
71,"Servicios de arquitectura, construcción, ingeniería e inspección",5485,3545442287.95
72,Servicios de tecnología de la información,3177,3539939096.55
09,"Productos derivados del petróleo, combustibles, electricidad y otras fuentes de energía",1064,2679112210.37
44,Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos),2109,2302548159.81
79,"Servicios empresariales: legislación, marketing, consultoría, contratación de personal, imprenta y seguridad",5691,2097436107.51
48,Paquetes de software y sistemas de información,1811,1969320548.23
64,Servicios postales y de telecomunicaciones,578,1206094129.72
63,Servicios auxiliares y adicionales de transporte; servicios de agencias de viaje,581,1194193413.02
77,"Servicios agrícolas, forestales, hortícolas, acuicultura y apicultura",999,1183546685.32
65,Servicios públicos,102,857098319.22
35,"Equipos de seguridad, extinción de incendios, policía y defensa",904,825036418.91
92,"Servicios recreativos, culturales y deportivos",3935,797507568.86
66,Servicios financieros y de seguros,1330,792188436.57
55,"Servicios de hostelería, restauración y comercio al por menor",2054,667672096.44
98,"Otros servicios comunitarios, sociales y personales",952,650935367.83
32,"Equipos de radio, televisión, comunicación, telecomunicación y afines",945,607465043.28
80,Servicios de educación y formación,1671,595531308.7
30,"Máquinas de oficina, equipos y suministros, excepto ordenadores, impresoras y muebles",1775,543793473.58
70,Servicios inmobiliarios,477,538863522.45
39,"Mobiliario, equipamiento del hogar, electrodomésticos (excluido el alumbrado) y productos de limpieza",2131,466888893.61
31,"Maquinaria, aparatos, equipos y consumibles eléctricos",1284,447457545.93
42,Maquinaria industrial,1292,392127515.66
73,Servicios de investigación y desarrollo y servicios de consultoría conexos,222,329204949.46
38,"Equipos de laboratorio, óptica y de precisión (excepto gafas)",895,282804176.25
14,"Productos mineros, metales básicos y productos afines",301,246741947.27
15,"Alimentos, bebidas, tabaco y productos afines",758,229385130.13
18,"Prendas de vestir, calzado, artículos de viaje y accesorios",856,204378589.02
24,Productos químicos,458,165060286.46
51,Servicios de instalación (excepto software),380,159372841.59
03,"Productos agrícolas, ganaderos, pesqueros, forestales y afines",873,156771419.77
22,Impresos y productos afines,419,135512409.15
75,"Servicios de administración pública, defensa y seguridad social",176,125646378.71
37,"Instrumentos musicales, artículos deportivos, juegos, juguetes, artesanía, material de bellas artes y accesorios",565,98632061.58
43,"Maquinaria para minería, canteras y construcción",334,79111355.77
16,Maquinaria agrícola,137,13570207.71
19,"Cuero, materiales textiles y productos de caucho o plástico",109,13016264.5
